date,sex,industry_sic2007,decil_group,contents,year,value
2021-12-31,Both sexes,Financial and insurance activities,Decile 2,Average age (years),2021,39.8
2022-12-31,Both sexes,Financial and insurance activities,Decile 2,Average age (years),2022,39
2016-12-31,Both sexes,Financial and insurance activities,Decile 2,Average contractual working hours per week (hours),2016,34.7
2017-12-31,Both sexes,Financial and insurance activities,Decile 2,Average contractual working hours per week (hours),2017,34.8
2018-12-31,Both sexes,Financial and insurance activities,Decile 2,Average contractual working hours per week (hours),2018,34.8
2019-12-31,Both sexes,Financial and insurance activities,Decile 2,Average contractual working hours per week (hours),2019,34.9
2020-12-31,Both sexes,Financial and insurance activities,Decile 2,Average contractual working hours per week (hours),2020,35
2021-12-31,Both sexes,Financial and insurance activities,Decile 2,Average contractual working hours per week (hours),2021,35.5
2022-12-31,Both sexes,Financial and insurance activities,Decile 2,Average contractual working hours per week (hours),2022,35.5
2016-12-31,Both sexes,Financial and insurance activities,Decile 3,Average monthly earnings (NOK),2016,39800
2017-12-31,Both sexes,Financial and insurance activities,Decile 3,Average monthly earnings (NOK),2017,41040
2018-12-31,Both sexes,Financial and insurance activities,Decile 3,Average monthly earnings (NOK),2018,42310
2019-12-31,Both sexes,Financial and insurance activities,Decile 3,Average monthly earnings (NOK),2019,44950
2020-12-31,Both sexes,Financial and insurance activities,Decile 3,Average monthly earnings (NOK),2020,46200
2021-12-31,Both sexes,Financial and insurance activities,Decile 3,Average monthly earnings (NOK),2021,47910
2022-12-31,Both sexes,Financial and insurance activities,Decile 3,Average monthly earnings (NOK),2022,50760
2016-12-31,Both sexes,Financial and insurance activities,Decile 3,Average monthly earnings (per cent),2016,6.5
2017-12-31,Both sexes,Financial and insurance activities,Decile 3,Average monthly earnings (per cent),2017,6.5
2018-12-31,Both sexes,Financial and insurance activities,Decile 3,Average monthly earnings (per cent),2018,6.4
2019-12-31,Both sexes,Financial and insurance activities,Decile 3,Average monthly earnings (per cent),2019,6.6
2020-12-31,Both sexes,Financial and insurance activities,Decile 3,Average monthly earnings (per cent),2020,6.6
2021-12-31,Both sexes,Financial and insurance activities,Decile 3,Average monthly earnings (per cent),2021,6.5
2022-12-31,Both sexes,Financial and insurance activities,Decile 3,Average monthly earnings (per cent),2022,6.5
2016-12-31,Both sexes,Financial and insurance activities,Decile 3,Boundaries monthly earnings (NOK),2016,41520
2017-12-31,Both sexes,Financial and insurance activities,Decile 3,Boundaries monthly earnings (NOK),2017,42800
2018-12-31,Both sexes,Financial and insurance activities,Decile 3,Boundaries monthly earnings (NOK),2018,44190
2019-12-31,Both sexes,Financial and insurance activities,Decile 3,Boundaries monthly earnings (NOK),2019,46890
2020-12-31,Both sexes,Financial and insurance activities,Decile 3,Boundaries monthly earnings (NOK),2020,48330
2021-12-31,Both sexes,Financial and insurance activities,Decile 3,Boundaries monthly earnings (NOK),2021,50060
2022-12-31,Both sexes,Financial and insurance activities,Decile 3,Boundaries monthly earnings (NOK),2022,53040
2016-12-31,Both sexes,Financial and insurance activities,Decile 3,Average age (years),2016,43.6
2017-12-31,Both sexes,Financial and insurance activities,Decile 3,Average age (years),2017,43.1
2018-12-31,Both sexes,Financial and insurance activities,Decile 3,Average age (years),2018,43.2
2019-12-31,Both sexes,Financial and insurance activities,Decile 3,Average age (years),2019,42.7
2020-12-31,Both sexes,Financial and insurance activities,Decile 3,Average age (years),2020,42.6
2021-12-31,Both sexes,Financial and insurance activities,Decile 3,Average age (years),2021,42.5
2022-12-31,Both sexes,Financial and insurance activities,Decile 3,Average age (years),2022,41.8
2016-12-31,Both sexes,Financial and insurance activities,Decile 3,Average contractual working hours per week (hours),2016,35.2
2017-12-31,Both sexes,Financial and insurance activities,Decile 3,Average contractual working hours per week (hours),2017,35.4
2018-12-31,Both sexes,Financial and insurance activities,Decile 3,Average contractual working hours per week (hours),2018,35.5
2019-12-31,Both sexes,Financial and insurance activities,Decile 3,Average contractual working hours per week (hours),2019,35.5
2020-12-31,Both sexes,Financial and insurance activities,Decile 3,Average contractual working hours per week (hours),2020,35.7
2021-12-31,Both sexes,Financial and insurance activities,Decile 3,Average contractual working hours per week (hours),2021,35.7
2022-12-31,Both sexes,Financial and insurance activities,Decile 3,Average contractual working hours per week (hours),2022,35.7
2016-12-31,Both sexes,Financial and insurance activities,Decile 4,Average monthly earnings (NOK),2016,43280
2017-12-31,Both sexes,Financial and insurance activities,Decile 4,Average monthly earnings (NOK),2017,44670
2018-12-31,Both sexes,Financial and insurance activities,Decile 4,Average monthly earnings (NOK),2018,46260
2019-12-31,Both sexes,Financial and insurance activities,Decile 4,Average monthly earnings (NOK),2019,49120
2020-12-31,Both sexes,Financial and insurance activities,Decile 4,Average monthly earnings (NOK),2020,50550
2021-12-31,Both sexes,Financial and insurance activities,Decile 4,Average monthly earnings (NOK),2021,52510
2022-12-31,Both sexes,Financial and insurance activities,Decile 4,Average monthly earnings (NOK),2022,55440
2016-12-31,Both sexes,Financial and insurance activities,Decile 4,Average monthly earnings (per cent),2016,7
2017-12-31,Both sexes,Financial and insurance activities,Decile 4,Average monthly earnings (per cent),2017,7
2018-12-31,Both sexes,Financial and insurance activities,Decile 4,Average monthly earnings (per cent),2018,7
2019-12-31,Both sexes,Financial and insurance activities,Decile 4,Average monthly earnings (per cent),2019,7.2
2020-12-31,Both sexes,Financial and insurance activities,Decile 4,Average monthly earnings (per cent),2020,7.2
2021-12-31,Both sexes,Financial and insurance activities,Decile 4,Average monthly earnings (per cent),2021,7.1
2022-12-31,Both sexes,Financial and insurance activities,Decile 4,Average monthly earnings (per cent),2022,7.1
2016-12-31,Both sexes,Financial and insurance activities,Decile 4,Boundaries monthly earnings (NOK),2016,45130
2017-12-31,Both sexes,Financial and insurance activities,Decile 4,Boundaries monthly earnings (NOK),2017,46800
2018-12-31,Both sexes,Financial and insurance activities,Decile 4,Boundaries monthly earnings (NOK),2018,48420
2019-12-31,Both sexes,Financial and insurance activities,Decile 4,Boundaries monthly earnings (NOK),2019,51300
2020-12-31,Both sexes,Financial and insurance activities,Decile 4,Boundaries monthly earnings (NOK),2020,52960
2021-12-31,Both sexes,Financial and insurance activities,Decile 4,Boundaries monthly earnings (NOK),2021,55000
2022-12-31,Both sexes,Financial and insurance activities,Decile 4,Boundaries monthly earnings (NOK),2022,58000
2016-12-31,Both sexes,Financial and insurance activities,Decile 4,Average age (years),2016,44.1
2017-12-31,Both sexes,Financial and insurance activities,Decile 4,Average age (years),2017,44.5
2018-12-31,Both sexes,Financial and insurance activities,Decile 4,Average age (years),2018,44.3
2019-12-31,Both sexes,Financial and insurance activities,Decile 4,Average age (years),2019,44.1
2020-12-31,Both sexes,Financial and insurance activities,Decile 4,Average age (years),2020,43.9
2021-12-31,Both sexes,Financial and insurance activities,Decile 4,Average age (years),2021,43.5
2022-12-31,Both sexes,Financial and insurance activities,Decile 4,Average age (years),2022,42.9
2016-12-31,Both sexes,Financial and insurance activities,Decile 4,Average contractual working hours per week (hours),2016,35.5
2017-12-31,Both sexes,Financial and insurance activities,Decile 4,Average contractual working hours per week (hours),2017,35.6
2018-12-31,Both sexes,Financial and insurance activities,Decile 4,Average contractual working hours per week (hours),2018,35.6
2019-12-31,Both sexes,Financial and insurance activities,Decile 4,Average contractual working hours per week (hours),2019,35.8
2020-12-31,Both sexes,Financial and insurance activities,Decile 4,Average contractual working hours per week (hours),2020,35.6
2021-12-31,Both sexes,Financial and insurance activities,Decile 4,Average contractual working hours per week (hours),2021,35.9
2022-12-31,Both sexes,Financial and insurance activities,Decile 4,Average contractual working hours per week (hours),2022,36.1
2016-12-31,Both sexes,Financial and insurance activities,Decile 5,Average monthly earnings (NOK),2016,47420
2017-12-31,Both sexes,Financial and insurance activities,Decile 5,Average monthly earnings (NOK),2017,49050
2018-12-31,Both sexes,Financial and insurance activities,Decile 5,Average monthly earnings (NOK),2018,50870
2019-12-31,Both sexes,Financial and insurance activities,Decile 5,Average monthly earnings (NOK),2019,53920
2020-12-31,Both sexes,Financial and insurance activities,Decile 5,Average monthly earnings (NOK),2020,55580
2021-12-31,Both sexes,Financial and insurance activities,Decile 5,Average monthly earnings (NOK),2021,57750
2022-12-31,Both sexes,Financial and insurance activities,Decile 5,Average monthly earnings (NOK),2022,60790
2016-12-31,Both sexes,Financial and insurance activities,Decile 5,Average monthly earnings (per cent),2016,7.7
2017-12-31,Both sexes,Financial and insurance activities,Decile 5,Average monthly earnings (per cent),2017,7.7
2018-12-31,Both sexes,Financial and insurance activities,Decile 5,Average monthly earnings (per cent),2018,7.8
2019-12-31,Both sexes,Financial and insurance activities,Decile 5,Average monthly earnings (per cent),2019,7.9
2020-12-31,Both sexes,Financial and insurance activities,Decile 5,Average monthly earnings (per cent),2020,7.9
2021-12-31,Both sexes,Financial and insurance activities,Decile 5,Average monthly earnings (per cent),2021,7.8
2022-12-31,Both sexes,Financial and insurance activities,Decile 5,Average monthly earnings (per cent),2022,7.8
2016-12-31,Both sexes,Financial and insurance activities,Decile 5,Boundaries monthly earnings (NOK),2016,49820
2017-12-31,Both sexes,Financial and insurance activities,Decile 5,Boundaries monthly earnings (NOK),2017,51440
2018-12-31,Both sexes,Financial and insurance activities,Decile 5,Boundaries monthly earnings (NOK),2018,53540
2019-12-31,Both sexes,Financial and insurance activities,Decile 5,Boundaries monthly earnings (NOK),2019,56680
2020-12-31,Both sexes,Financial and insurance activities,Decile 5,Boundaries monthly earnings (NOK),2020,58330
2021-12-31,Both sexes,Financial and insurance activities,Decile 5,Boundaries monthly earnings (NOK),2021,60620
2022-12-31,Both sexes,Financial and insurance activities,Decile 5,Boundaries monthly earnings (NOK),2022,63790
2016-12-31,Both sexes,Financial and insurance activities,Decile 5,Average age (years),2016,44.9
2017-12-31,Both sexes,Financial and insurance activities,Decile 5,Average age (years),2017,44.8
2018-12-31,Both sexes,Financial and insurance activities,Decile 5,Average age (years),2018,44.9
2019-12-31,Both sexes,Financial and insurance activities,Decile 5,Average age (years),2019,44.9
2020-12-31,Both sexes,Financial and insurance activities,Decile 5,Average age (years),2020,44.8
2021-12-31,Both sexes,Financial and insurance activities,Decile 5,Average age (years),2021,44.7
2022-12-31,Both sexes,Financial and insurance activities,Decile 5,Average age (years),2022,44.1
2016-12-31,Both sexes,Financial and insurance activities,Decile 5,Average contractual working hours per week (hours),2016,35.9
2017-12-31,Both sexes,Financial and insurance activities,Decile 5,Average contractual working hours per week (hours),2017,35.9
2018-12-31,Both sexes,Financial and insurance activities,Decile 5,Average contractual working hours per week (hours),2018,35.9
2019-12-31,Both sexes,Financial and insurance activities,Decile 5,Average contractual working hours per week (hours),2019,35.9
2020-12-31,Both sexes,Financial and insurance activities,Decile 5,Average contractual working hours per week (hours),2020,36.1
2021-12-31,Both sexes,Financial and insurance activities,Decile 5,Average contractual working hours per week (hours),2021,36
2022-12-31,Both sexes,Financial and insurance activities,Decile 5,Average contractual working hours per week (hours),2022,36.1
2016-12-31,Both sexes,Financial and insurance activities,Decile 6,Average monthly earnings (NOK),2016,52380
2017-12-31,Both sexes,Financial and insurance activities,Decile 6,Average monthly earnings (NOK),2017,54310
2018-12-31,Both sexes,Financial and insurance activities,Decile 6,Average monthly earnings (NOK),2018,56440
2019-12-31,Both sexes,Financial and insurance activities,Decile 6,Average monthly earnings (NOK),2019,59770
2020-12-31,Both sexes,Financial and insurance activities,Decile 6,Average monthly earnings (NOK),2020,61480
2021-12-31,Both sexes,Financial and insurance activities,Decile 6,Average monthly earnings (NOK),2021,63910
2022-12-31,Both sexes,Financial and insurance activities,Decile 6,Average monthly earnings (NOK),2022,67290
2016-12-31,Both sexes,Financial and insurance activities,Decile 6,Average monthly earnings (per cent),2016,8.5
2017-12-31,Both sexes,Financial and insurance activities,Decile 6,Average monthly earnings (per cent),2017,8.6
2018-12-31,Both sexes,Financial and insurance activities,Decile 6,Average monthly earnings (per cent),2018,8.6
2019-12-31,Both sexes,Financial and insurance activities,Decile 6,Average monthly earnings (per cent),2019,8.7
2020-12-31,Both sexes,Financial and insurance activities,Decile 6,Average monthly earnings (per cent),2020,8.7
2021-12-31,Both sexes,Financial and insurance activities,Decile 6,Average monthly earnings (per cent),2021,8.7
2022-12-31,Both sexes,Financial and insurance activities,Decile 6,Average monthly earnings (per cent),2022,8.7
2016-12-31,Both sexes,Financial and insurance activities,Decile 6,Boundaries monthly earnings (NOK),2016,55250
2017-12-31,Both sexes,Financial and insurance activities,Decile 6,Boundaries monthly earnings (NOK),2017,57370
2018-12-31,Both sexes,Financial and insurance activities,Decile 6,Boundaries monthly earnings (NOK),2018,59570
2019-12-31,Both sexes,Financial and insurance activities,Decile 6,Boundaries monthly earnings (NOK),2019,63100
2020-12-31,Both sexes,Financial and insurance activities,Decile 6,Boundaries monthly earnings (NOK),2020,64950
2021-12-31,Both sexes,Financial and insurance activities,Decile 6,Boundaries monthly earnings (NOK),2021,67410
2022-12-31,Both sexes,Financial and insurance activities,Decile 6,Boundaries monthly earnings (NOK),2022,70830
2016-12-31,Both sexes,Financial and insurance activities,Decile 6,Average age (years),2016,45
2017-12-31,Both sexes,Financial and insurance activities,Decile 6,Average age (years),2017,45.3
2018-12-31,Both sexes,Financial and insurance activities,Decile 6,Average age (years),2018,44.9
2019-12-31,Both sexes,Financial and insurance activities,Decile 6,Average age (years),2019,45.2
2020-12-31,Both sexes,Financial and insurance activities,Decile 6,Average age (years),2020,45.5
2021-12-31,Both sexes,Financial and insurance activities,Decile 6,Average age (years),2021,45
2022-12-31,Both sexes,Financial and insurance activities,Decile 6,Average age (years),2022,44.7
2016-12-31,Both sexes,Financial and insurance activities,Decile 6,Average contractual working hours per week (hours),2016,35.9
2017-12-31,Both sexes,Financial and insurance activities,Decile 6,Average contractual working hours per week (hours),2017,36
2018-12-31,Both sexes,Financial and insurance activities,Decile 6,Average contractual working hours per week (hours),2018,36.2
2019-12-31,Both sexes,Financial and insurance activities,Decile 6,Average contractual working hours per week (hours),2019,36.1
2020-12-31,Both sexes,Financial and insurance activities,Decile 6,Average contractual working hours per week (hours),2020,36.1
2021-12-31,Both sexes,Financial and insurance activities,Decile 6,Average contractual working hours per week (hours),2021,36.2
2022-12-31,Both sexes,Financial and insurance activities,Decile 6,Average contractual working hours per week (hours),2022,36.4
2016-12-31,Both sexes,Financial and insurance activities,Decile 7,Average monthly earnings (NOK),2016,58840
2017-12-31,Both sexes,Financial and insurance activities,Decile 7,Average monthly earnings (NOK),2017,60880
2018-12-31,Both sexes,Financial and insurance activities,Decile 7,Average monthly earnings (NOK),2018,63280
2019-12-31,Both sexes,Financial and insurance activities,Decile 7,Average monthly earnings (NOK),2019,66880
2020-12-31,Both sexes,Financial and insurance activities,Decile 7,Average monthly earnings (NOK),2020,68800
2021-12-31,Both sexes,Financial and insurance activities,Decile 7,Average monthly earnings (NOK),2021,71330
2022-12-31,Both sexes,Financial and insurance activities,Decile 7,Average monthly earnings (NOK),2022,74880
2016-12-31,Both sexes,Financial and insurance activities,Decile 7,Average monthly earnings (per cent),2016,9.5
2017-12-31,Both sexes,Financial and insurance activities,Decile 7,Average monthly earnings (per cent),2017,9.6
2018-12-31,Both sexes,Financial and insurance activities,Decile 7,Average monthly earnings (per cent),2018,9.6
2019-12-31,Both sexes,Financial and insurance activities,Decile 7,Average monthly earnings (per cent),2019,9.8
2020-12-31,Both sexes,Financial and insurance activities,Decile 7,Average monthly earnings (per cent),2020,9.8
2021-12-31,Both sexes,Financial and insurance activities,Decile 7,Average monthly earnings (per cent),2021,9.7
2022-12-31,Both sexes,Financial and insurance activities,Decile 7,Average monthly earnings (per cent),2022,9.6
2016-12-31,Both sexes,Financial and insurance activities,Decile 7,Boundaries monthly earnings (NOK),2016,62800
2017-12-31,Both sexes,Financial and insurance activities,Decile 7,Boundaries monthly earnings (NOK),2017,64650
2018-12-31,Both sexes,Financial and insurance activities,Decile 7,Boundaries monthly earnings (NOK),2018,67200
2019-12-31,Both sexes,Financial and insurance activities,Decile 7,Boundaries monthly earnings (NOK),2019,71030
2020-12-31,Both sexes,Financial and insurance activities,Decile 7,Boundaries monthly earnings (NOK),2020,72920
2021-12-31,Both sexes,Financial and insurance activities,Decile 7,Boundaries monthly earnings (NOK),2021,75550
2022-12-31,Both sexes,Financial and insurance activities,Decile 7,Boundaries monthly earnings (NOK),2022,79170
2016-12-31,Both sexes,Financial and insurance activities,Decile 7,Average age (years),2016,45.6
2017-12-31,Both sexes,Financial and insurance activities,Decile 7,Average age (years),2017,45.6
2018-12-31,Both sexes,Financial and insurance activities,Decile 7,Average age (years),2018,46.1
2019-12-31,Both sexes,Financial and insurance activities,Decile 7,Average age (years),2019,46
2020-12-31,Both sexes,Financial and insurance activities,Decile 7,Average age (years),2020,46.1
2021-12-31,Both sexes,Financial and insurance activities,Decile 7,Average age (years),2021,46.1
2022-12-31,Both sexes,Financial and insurance activities,Decile 7,Average age (years),2022,45.9
2016-12-31,Both sexes,Financial and insurance activities,Decile 7,Average contractual working hours per week (hours),2016,36.2
2017-12-31,Both sexes,Financial and insurance activities,Decile 7,Average contractual working hours per week (hours),2017,36.2
2018-12-31,Both sexes,Financial and insurance activities,Decile 7,Average contractual working hours per week (hours),2018,36.3
2019-12-31,Both sexes,Financial and insurance activities,Decile 7,Average contractual working hours per week (hours),2019,36.5
2020-12-31,Both sexes,Financial and insurance activities,Decile 7,Average contractual working hours per week (hours),2020,36.3
2021-12-31,Both sexes,Financial and insurance activities,Decile 7,Average contractual working hours per week (hours),2021,36.5
2022-12-31,Both sexes,Financial and insurance activities,Decile 7,Average contractual working hours per week (hours),2022,36.5
2016-12-31,Both sexes,Financial and insurance activities,Decile 8,Average monthly earnings (NOK),2016,67520
2017-12-31,Both sexes,Financial and insurance activities,Decile 8,Average monthly earnings (NOK),2017,69540
2018-12-31,Both sexes,Financial and insurance activities,Decile 8,Average monthly earnings (NOK),2018,72190
2019-12-31,Both sexes,Financial and insurance activities,Decile 8,Average monthly earnings (NOK),2019,76010
2020-12-31,Both sexes,Financial and insurance activities,Decile 8,Average monthly earnings (NOK),2020,77950
2021-12-31,Both sexes,Financial and insurance activities,Decile 8,Average monthly earnings (NOK),2021,80880
2022-12-31,Both sexes,Financial and insurance activities,Decile 8,Average monthly earnings (NOK),2022,84600
2016-12-31,Both sexes,Financial and insurance activities,Decile 8,Average monthly earnings (per cent),2016,11
2017-12-31,Both sexes,Financial and insurance activities,Decile 8,Average monthly earnings (per cent),2017,11
2018-12-31,Both sexes,Financial and insurance activities,Decile 8,Average monthly earnings (per cent),2018,11
2019-12-31,Both sexes,Financial and insurance activities,Decile 8,Average monthly earnings (per cent),2019,11.1
2020-12-31,Both sexes,Financial and insurance activities,Decile 8,Average monthly earnings (per cent),2020,11.1
2021-12-31,Both sexes,Financial and insurance activities,Decile 8,Average monthly earnings (per cent),2021,11
2022-12-31,Both sexes,Financial and insurance activities,Decile 8,Average monthly earnings (per cent),2022,10.9
2016-12-31,Both sexes,Financial and insurance activities,Decile 8,Boundaries monthly earnings (NOK),2016,73030
2017-12-31,Both sexes,Financial and insurance activities,Decile 8,Boundaries monthly earnings (NOK),2017,75000
2018-12-31,Both sexes,Financial and insurance activities,Decile 8,Boundaries monthly earnings (NOK),2018,77840
2019-12-31,Both sexes,Financial and insurance activities,Decile 8,Boundaries monthly earnings (NOK),2019,81670
2020-12-31,Both sexes,Financial and insurance activities,Decile 8,Boundaries monthly earnings (NOK),2020,83650
2021-12-31,Both sexes,Financial and insurance activities,Decile 8,Boundaries monthly earnings (NOK),2021,87220
2022-12-31,Both sexes,Financial and insurance activities,Decile 8,Boundaries monthly earnings (NOK),2022,91210
2016-12-31,Both sexes,Financial and insurance activities,Decile 8,Average age (years),2016,46.3
2017-12-31,Both sexes,Financial and insurance activities,Decile 8,Average age (years),2017,46.4
2018-12-31,Both sexes,Financial and insurance activities,Decile 8,Average age (years),2018,46.6
2019-12-31,Both sexes,Financial and insurance activities,Decile 8,Average age (years),2019,46.8
2020-12-31,Both sexes,Financial and insurance activities,Decile 8,Average age (years),2020,47
2021-12-31,Both sexes,Financial and insurance activities,Decile 8,Average age (years),2021,47.3
2022-12-31,Both sexes,Financial and insurance activities,Decile 8,Average age (years),2022,47.2
2016-12-31,Both sexes,Financial and insurance activities,Decile 8,Average contractual working hours per week (hours),2016,36.4
2017-12-31,Both sexes,Financial and insurance activities,Decile 8,Average contractual working hours per week (hours),2017,36.4
2018-12-31,Both sexes,Financial and insurance activities,Decile 8,Average contractual working hours per week (hours),2018,36.6
2019-12-31,Both sexes,Financial and insurance activities,Decile 8,Average contractual working hours per week (hours),2019,36.6
2020-12-31,Both sexes,Financial and insurance activities,Decile 8,Average contractual working hours per week (hours),2020,36.5
2021-12-31,Both sexes,Financial and insurance activities,Decile 8,Average contractual working hours per week (hours),2021,36.7
2022-12-31,Both sexes,Financial and insurance activities,Decile 8,Average contractual working hours per week (hours),2022,36.7
2016-12-31,Both sexes,Financial and insurance activities,Decile 9,Average monthly earnings (NOK),2016,82370
2017-12-31,Both sexes,Financial and insurance activities,Decile 9,Average monthly earnings (NOK),2017,84510
2018-12-31,Both sexes,Financial and insurance activities,Decile 9,Average monthly earnings (NOK),2018,87390
2019-12-31,Both sexes,Financial and insurance activities,Decile 9,Average monthly earnings (NOK),2019,91370
2020-12-31,Both sexes,Financial and insurance activities,Decile 9,Average monthly earnings (NOK),2020,93800
2021-12-31,Both sexes,Financial and insurance activities,Decile 9,Average monthly earnings (NOK),2021,98110
2022-12-31,Both sexes,Financial and insurance activities,Decile 9,Average monthly earnings (NOK),2022,102740
2016-12-31,Both sexes,Financial and insurance activities,Decile 9,Average monthly earnings (per cent),2016,13.4
2017-12-31,Both sexes,Financial and insurance activities,Decile 9,Average monthly earnings (per cent),2017,13.3
2018-12-31,Both sexes,Financial and insurance activities,Decile 9,Average monthly earnings (per cent),2018,13.3
2019-12-31,Both sexes,Financial and insurance activities,Decile 9,Average monthly earnings (per cent),2019,13.3
2020-12-31,Both sexes,Financial and insurance activities,Decile 9,Average monthly earnings (per cent),2020,13.3
2021-12-31,Both sexes,Financial and insurance activities,Decile 9,Average monthly earnings (per cent),2021,13.3
2022-12-31,Both sexes,Financial and insurance activities,Decile 9,Average monthly earnings (per cent),2022,13.2
2016-12-31,Both sexes,Financial and insurance activities,Decile 9,Boundaries monthly earnings (NOK),2016,95570
2017-12-31,Both sexes,Financial and insurance activities,Decile 9,Boundaries monthly earnings (NOK),2017,97880
2018-12-31,Both sexes,Financial and insurance activities,Decile 9,Boundaries monthly earnings (NOK),2018,101100
2019-12-31,Both sexes,Financial and insurance activities,Decile 9,Boundaries monthly earnings (NOK),2019,104940
2020-12-31,Both sexes,Financial and insurance activities,Decile 9,Boundaries monthly earnings (NOK),2020,107960
2021-12-31,Both sexes,Financial and insurance activities,Decile 9,Boundaries monthly earnings (NOK),2021,113110
2022-12-31,Both sexes,Financial and insurance activities,Decile 9,Boundaries monthly earnings (NOK),2022,119090
2016-12-31,Both sexes,Financial and insurance activities,Decile 9,Average age (years),2016,47.2
2017-12-31,Both sexes,Financial and insurance activities,Decile 9,Average age (years),2017,47.4
2018-12-31,Both sexes,Financial and insurance activities,Decile 9,Average age (years),2018,47.6
2019-12-31,Both sexes,Financial and insurance activities,Decile 9,Average age (years),2019,47.8
2020-12-31,Both sexes,Financial and insurance activities,Decile 9,Average age (years),2020,47.9
2021-12-31,Both sexes,Financial and insurance activities,Decile 9,Average age (years),2021,48
2022-12-31,Both sexes,Financial and insurance activities,Decile 9,Average age (years),2022,48.1
2016-12-31,Both sexes,Financial and insurance activities,Decile 9,Average contractual working hours per week (hours),2016,36.6
2017-12-31,Both sexes,Financial and insurance activities,Decile 9,Average contractual working hours per week (hours),2017,36.5
2018-12-31,Both sexes,Financial and insurance activities,Decile 9,Average contractual working hours per week (hours),2018,36.6
2019-12-31,Both sexes,Financial and insurance activities,Decile 9,Average contractual working hours per week (hours),2019,36.4
2020-12-31,Both sexes,Financial and insurance activities,Decile 9,Average contractual working hours per week (hours),2020,36.5
2021-12-31,Both sexes,Financial and insurance activities,Decile 9,Average contractual working hours per week (hours),2021,36.5
2022-12-31,Both sexes,Financial and insurance activities,Decile 9,Average contractual working hours per week (hours),2022,36.6
2016-12-31,Both sexes,Financial and insurance activities,Decile 10,Average monthly earnings (NOK),2016,157140
2017-12-31,Both sexes,Financial and insurance activities,Decile 10,Average monthly earnings (NOK),2017,160760
2018-12-31,Both sexes,Financial and insurance activities,Decile 10,Average monthly earnings (NOK),2018,166140
2019-12-31,Both sexes,Financial and insurance activities,Decile 10,Average monthly earnings (NOK),2019,168070
2020-12-31,Both sexes,Financial and insurance activities,Decile 10,Average monthly earnings (NOK),2020,171340
2021-12-31,Both sexes,Financial and insurance activities,Decile 10,Average monthly earnings (NOK),2021,183120
2022-12-31,Both sexes,Financial and insurance activities,Decile 10,Average monthly earnings (NOK),2022,196400
2016-12-31,Both sexes,Financial and insurance activities,Decile 10,Average monthly earnings (per cent),2016,25.5
2017-12-31,Both sexes,Financial and insurance activities,Decile 10,Average monthly earnings (per cent),2017,25.3
2018-12-31,Both sexes,Financial and insurance activities,Decile 10,Average monthly earnings (per cent),2018,25.3
2019-12-31,Both sexes,Financial and insurance activities,Decile 10,Average monthly earnings (per cent),2019,24.5
2020-12-31,Both sexes,Financial and insurance activities,Decile 10,Average monthly earnings (per cent),2020,24.4
2021-12-31,Both sexes,Financial and insurance activities,Decile 10,Average monthly earnings (per cent),2021,24.9
2022-12-31,Both sexes,Financial and insurance activities,Decile 10,Average monthly earnings (per cent),2022,25.2
2016-12-31,Both sexes,Financial and insurance activities,Decile 10,Boundaries monthly earnings (NOK),2016,NA
2017-12-31,Both sexes,Financial and insurance activities,Decile 10,Boundaries monthly earnings (NOK),2017,NA
2018-12-31,Both sexes,Financial and insurance activities,Decile 10,Boundaries monthly earnings (NOK),2018,NA
2019-12-31,Both sexes,Financial and insurance activities,Decile 10,Boundaries monthly earnings (NOK),2019,NA
2020-12-31,Both sexes,Financial and insurance activities,Decile 10,Boundaries monthly earnings (NOK),2020,NA
2021-12-31,Both sexes,Financial and insurance activities,Decile 10,Boundaries monthly earnings (NOK),2021,NA
2022-12-31,Both sexes,Financial and insurance activities,Decile 10,Boundaries monthly earnings (NOK),2022,NA
2016-12-31,Both sexes,Financial and insurance activities,Decile 10,Average age (years),2016,47.1
2017-12-31,Both sexes,Financial and insurance activities,Decile 10,Average age (years),2017,47.6
2018-12-31,Both sexes,Financial and insurance activities,Decile 10,Average age (years),2018,47.7
2019-12-31,Both sexes,Financial and insurance activities,Decile 10,Average age (years),2019,48
2020-12-31,Both sexes,Financial and insurance activities,Decile 10,Average age (years),2020,48.4
2021-12-31,Both sexes,Financial and insurance activities,Decile 10,Average age (years),2021,48.4
2022-12-31,Both sexes,Financial and insurance activities,Decile 10,Average age (years),2022,48.5
2016-12-31,Both sexes,Financial and insurance activities,Decile 10,Average contractual working hours per week (hours),2016,36.8
2017-12-31,Both sexes,Financial and insurance activities,Decile 10,Average contractual working hours per week (hours),2017,36.8
2018-12-31,Both sexes,Financial and insurance activities,Decile 10,Average contractual working hours per week (hours),2018,36.8
2019-12-31,Both sexes,Financial and insurance activities,Decile 10,Average contractual working hours per week (hours),2019,36.8
2020-12-31,Both sexes,Financial and insurance activities,Decile 10,Average contractual working hours per week (hours),2020,36.6
2021-12-31,Both sexes,Financial and insurance activities,Decile 10,Average contractual working hours per week (hours),2021,36.8
2022-12-31,Both sexes,Financial and insurance activities,Decile 10,Average contractual working hours per week (hours),2022,36.9
2016-12-31,Both sexes,Real estate activities,Decile 1,Average monthly earnings (NOK),2016,24580
2017-12-31,Both sexes,Real estate activities,Decile 1,Average monthly earnings (NOK),2017,24500
2018-12-31,Both sexes,Real estate activities,Decile 1,Average monthly earnings (NOK),2018,25790
