sex,industry_sic2007,decil_group,contents,year,value
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 93,Average contractual working hours per week (hours),2016,35.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 93,Average contractual working hours per week (hours),2017,35.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 93,Average contractual working hours per week (hours),2018,35.6
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 93,Average contractual working hours per week (hours),2019,35.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 93,Average contractual working hours per week (hours),2020,36.1
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 93,Average contractual working hours per week (hours),2021,35.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 93,Average contractual working hours per week (hours),2022,35.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average monthly earnings (NOK),2016,64540
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average monthly earnings (NOK),2017,66470
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average monthly earnings (NOK),2018,68530
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average monthly earnings (NOK),2019,70850
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average monthly earnings (NOK),2020,73370
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average monthly earnings (NOK),2021,77260
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average monthly earnings (NOK),2022,80450
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average monthly earnings (per cent),2016,1.6
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average monthly earnings (per cent),2017,1.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average monthly earnings (per cent),2018,1.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average monthly earnings (per cent),2019,1.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average monthly earnings (per cent),2020,1.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average monthly earnings (per cent),2021,1.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average monthly earnings (per cent),2022,1.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Boundaries monthly earnings (NOK),2016,65950
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Boundaries monthly earnings (NOK),2017,67880
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Boundaries monthly earnings (NOK),2018,70000
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Boundaries monthly earnings (NOK),2019,72420
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Boundaries monthly earnings (NOK),2020,75000
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Boundaries monthly earnings (NOK),2021,79150
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Boundaries monthly earnings (NOK),2022,82160
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average age (years),2016,46.5
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average age (years),2017,46.6
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average age (years),2018,47.2
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average age (years),2019,47.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average age (years),2020,47.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average age (years),2021,47.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average age (years),2022,48.2
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average contractual working hours per week (hours),2016,35.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average contractual working hours per week (hours),2017,35.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average contractual working hours per week (hours),2018,35.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average contractual working hours per week (hours),2019,36.1
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average contractual working hours per week (hours),2020,35.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average contractual working hours per week (hours),2021,35.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 94,Average contractual working hours per week (hours),2022,35.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average monthly earnings (NOK),2016,67570
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average monthly earnings (NOK),2017,69550
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average monthly earnings (NOK),2018,71610
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average monthly earnings (NOK),2019,74170
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average monthly earnings (NOK),2020,76700
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average monthly earnings (NOK),2021,80900
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average monthly earnings (NOK),2022,84060
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average monthly earnings (per cent),2016,1.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average monthly earnings (per cent),2017,1.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average monthly earnings (per cent),2018,1.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average monthly earnings (per cent),2019,1.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average monthly earnings (per cent),2020,1.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average monthly earnings (per cent),2021,1.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average monthly earnings (per cent),2022,1.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Boundaries monthly earnings (NOK),2016,69480
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Boundaries monthly earnings (NOK),2017,71150
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Boundaries monthly earnings (NOK),2018,73560
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Boundaries monthly earnings (NOK),2019,75870
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Boundaries monthly earnings (NOK),2020,78830
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Boundaries monthly earnings (NOK),2021,83030
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Boundaries monthly earnings (NOK),2022,86090
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average age (years),2016,46.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average age (years),2017,47.3
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average age (years),2018,47.5
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average age (years),2019,47.6
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average age (years),2020,47.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average age (years),2021,48.2
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average age (years),2022,48.3
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average contractual working hours per week (hours),2016,36.1
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average contractual working hours per week (hours),2017,36.3
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average contractual working hours per week (hours),2018,36
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average contractual working hours per week (hours),2019,36
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average contractual working hours per week (hours),2020,36
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average contractual working hours per week (hours),2021,35.6
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 95,Average contractual working hours per week (hours),2022,35.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average monthly earnings (NOK),2016,71210
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average monthly earnings (NOK),2017,73290
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average monthly earnings (NOK),2018,75520
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average monthly earnings (NOK),2019,78210
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average monthly earnings (NOK),2020,80840
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average monthly earnings (NOK),2021,85260
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average monthly earnings (NOK),2022,88790
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average monthly earnings (per cent),2016,1.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average monthly earnings (per cent),2017,1.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average monthly earnings (per cent),2018,1.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average monthly earnings (per cent),2019,1.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average monthly earnings (per cent),2020,1.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average monthly earnings (per cent),2021,1.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average monthly earnings (per cent),2022,1.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Boundaries monthly earnings (NOK),2016,73380
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Boundaries monthly earnings (NOK),2017,75300
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Boundaries monthly earnings (NOK),2018,77740
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Boundaries monthly earnings (NOK),2019,80310
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Boundaries monthly earnings (NOK),2020,83330
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Boundaries monthly earnings (NOK),2021,88000
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Boundaries monthly earnings (NOK),2022,91600
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average age (years),2016,47
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average age (years),2017,47.5
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average age (years),2018,47.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average age (years),2019,48.4
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average age (years),2020,48.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average age (years),2021,48.3
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average age (years),2022,49
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average contractual working hours per week (hours),2016,36
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average contractual working hours per week (hours),2017,36
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average contractual working hours per week (hours),2018,35.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average contractual working hours per week (hours),2019,36.1
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average contractual working hours per week (hours),2020,36
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average contractual working hours per week (hours),2021,35.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 96,Average contractual working hours per week (hours),2022,35.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average monthly earnings (NOK),2016,76060
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average monthly earnings (NOK),2017,78190
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average monthly earnings (NOK),2018,80450
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average monthly earnings (NOK),2019,83270
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average monthly earnings (NOK),2020,86250
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average monthly earnings (NOK),2021,91370
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average monthly earnings (NOK),2022,95220
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average monthly earnings (per cent),2016,1.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average monthly earnings (per cent),2017,1.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average monthly earnings (per cent),2018,1.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average monthly earnings (per cent),2019,1.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average monthly earnings (per cent),2020,2
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average monthly earnings (per cent),2021,2
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average monthly earnings (per cent),2022,2
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Boundaries monthly earnings (NOK),2016,79170
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Boundaries monthly earnings (NOK),2017,81240
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Boundaries monthly earnings (NOK),2018,83330
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Boundaries monthly earnings (NOK),2019,86460
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Boundaries monthly earnings (NOK),2020,89970
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Boundaries monthly earnings (NOK),2021,95290
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Boundaries monthly earnings (NOK),2022,99720
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average age (years),2016,48
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average age (years),2017,48
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average age (years),2018,48.1
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average age (years),2019,48.3
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average age (years),2020,48.5
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average age (years),2021,48.4
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average age (years),2022,49.3
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average contractual working hours per week (hours),2016,36.2
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average contractual working hours per week (hours),2017,36.1
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average contractual working hours per week (hours),2018,36
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average contractual working hours per week (hours),2019,35.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average contractual working hours per week (hours),2020,35.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average contractual working hours per week (hours),2021,35.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 97,Average contractual working hours per week (hours),2022,35.6
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average monthly earnings (NOK),2016,82900
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average monthly earnings (NOK),2017,85440
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average monthly earnings (NOK),2018,87650
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average monthly earnings (NOK),2019,90980
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average monthly earnings (NOK),2020,94560
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average monthly earnings (NOK),2021,100030
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average monthly earnings (NOK),2022,103830
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average monthly earnings (per cent),2016,2.1
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average monthly earnings (per cent),2017,2.1
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average monthly earnings (per cent),2018,2.1
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average monthly earnings (per cent),2019,2.1
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average monthly earnings (per cent),2020,2.1
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average monthly earnings (per cent),2021,2.2
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average monthly earnings (per cent),2022,2.1
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Boundaries monthly earnings (NOK),2016,87590
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Boundaries monthly earnings (NOK),2017,90290
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Boundaries monthly earnings (NOK),2018,92720
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Boundaries monthly earnings (NOK),2019,96300
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Boundaries monthly earnings (NOK),2020,100000
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Boundaries monthly earnings (NOK),2021,105540
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Boundaries monthly earnings (NOK),2022,110000
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average age (years),2016,47.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average age (years),2017,48.3
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average age (years),2018,48.5
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average age (years),2019,48.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average age (years),2020,49
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average age (years),2021,49.2
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average age (years),2022,49.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average contractual working hours per week (hours),2016,36.2
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average contractual working hours per week (hours),2017,36.3
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average contractual working hours per week (hours),2018,35.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average contractual working hours per week (hours),2019,36
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average contractual working hours per week (hours),2020,35.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average contractual working hours per week (hours),2021,35.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 98,Average contractual working hours per week (hours),2022,36.2
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average monthly earnings (NOK),2016,94830
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average monthly earnings (NOK),2017,97780
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average monthly earnings (NOK),2018,100110
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average monthly earnings (NOK),2019,103600
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average monthly earnings (NOK),2020,107210
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average monthly earnings (NOK),2021,114930
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average monthly earnings (NOK),2022,119750
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average monthly earnings (per cent),2016,2.4
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average monthly earnings (per cent),2017,2.4
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average monthly earnings (per cent),2018,2.4
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average monthly earnings (per cent),2019,2.4
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average monthly earnings (per cent),2020,2.4
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average monthly earnings (per cent),2021,2.5
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average monthly earnings (per cent),2022,2.5
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Boundaries monthly earnings (NOK),2016,104000
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Boundaries monthly earnings (NOK),2017,107640
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Boundaries monthly earnings (NOK),2018,109520
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Boundaries monthly earnings (NOK),2019,113840
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Boundaries monthly earnings (NOK),2020,118220
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Boundaries monthly earnings (NOK),2021,127080
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Boundaries monthly earnings (NOK),2022,132230
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average age (years),2016,48.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average age (years),2017,49.2
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average age (years),2018,49.1
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average age (years),2019,49.5
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average age (years),2020,49.5
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average age (years),2021,49.5
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average age (years),2022,50
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average contractual working hours per week (hours),2016,36.3
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average contractual working hours per week (hours),2017,36.3
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average contractual working hours per week (hours),2018,36
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average contractual working hours per week (hours),2019,36.2
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average contractual working hours per week (hours),2020,36.4
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average contractual working hours per week (hours),2021,35.8
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 99,Average contractual working hours per week (hours),2022,36.2
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Average monthly earnings (NOK),2016,139380
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Average monthly earnings (NOK),2017,143030
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Average monthly earnings (NOK),2018,145750
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Average monthly earnings (NOK),2019,150630
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Average monthly earnings (NOK),2020,162650
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Average monthly earnings (NOK),2021,178760
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Average monthly earnings (NOK),2022,186940
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Average monthly earnings (per cent),2016,3.6
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Average monthly earnings (per cent),2017,3.6
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Average monthly earnings (per cent),2018,3.5
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Average monthly earnings (per cent),2019,3.5
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Average monthly earnings (per cent),2020,3.7
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Average monthly earnings (per cent),2021,3.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Average monthly earnings (per cent),2022,3.9
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Boundaries monthly earnings (NOK),2016,NA
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Boundaries monthly earnings (NOK),2017,NA
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Boundaries monthly earnings (NOK),2018,NA
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Boundaries monthly earnings (NOK),2019,NA
Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,Percentile 100,Boundaries monthly earnings (NOK),2020,NA
