date,sex,industry_sic2007,year,employees_covered_by_the_survey,lower_quartile_nok,median_nok,mean_nok,upper_quartile_nok,parentname
2009-12-31,Females,Financial and insurance activities,2009,17947,29600,33700,38400,41700,Financial and insurance activities
2010-12-31,Females,Financial and insurance activities,2010,18403,31100,35600,40700,44200,Financial and insurance activities
2011-12-31,Females,Financial and insurance activities,2011,18533,32500,37700,43100,46900,Financial and insurance activities
2012-12-31,Females,Financial and insurance activities,2012,18727,33600,39000,44300,48800,Financial and insurance activities
2013-12-31,Females,Financial and insurance activities,2013,18545,35300,40900,46600,51700,Financial and insurance activities
2014-12-31,Females,Financial and insurance activities,2014,18465,36700,42800,48500,53800,Financial and insurance activities
2015-12-31,Females,Financial and insurance activities,2015,18344,37700,44200,50500,55800,Financial and insurance activities
2008-12-31,Both sexes,Real estate activities,2008,4117,26100,32500,39900,45300,Real estate activities
2009-12-31,Both sexes,Real estate activities,2009,5110,27900,34500,40900,46600,Real estate activities
2010-12-31,Both sexes,Real estate activities,2010,5654,29200,35900,43500,50000,Real estate activities
2011-12-31,Both sexes,Real estate activities,2011,6392,30000,37500,45700,52900,Real estate activities
2012-12-31,Both sexes,Real estate activities,2012,6482,31300,39600,48000,55800,Real estate activities
2013-12-31,Both sexes,Real estate activities,2013,6774,32500,41700,50400,58700,Real estate activities
2014-12-31,Both sexes,Real estate activities,2014,7033,32800,42000,51600,61000,Real estate activities
2015-12-31,Both sexes,Real estate activities,2015,7039,34000,43100,53200,62200,Real estate activities
2008-12-31,Males,Real estate activities,2008,2544,26400,33800,42400,49000,Real estate activities
2009-12-31,Males,Real estate activities,2009,3202,28400,35800,43300,50000,Real estate activities
2010-12-31,Males,Real estate activities,2010,3590,30000,37400,46300,54600,Real estate activities
2011-12-31,Males,Real estate activities,2011,4117,30000,38000,47800,55200,Real estate activities
2012-12-31,Males,Real estate activities,2012,4107,31700,40700,50700,59000,Real estate activities
2013-12-31,Males,Real estate activities,2013,4332,32600,42400,52500,61700,Real estate activities
2014-12-31,Males,Real estate activities,2014,4461,32900,43200,54500,65800,Real estate activities
2015-12-31,Males,Real estate activities,2015,4450,34500,44900,56100,67100,Real estate activities
2008-12-31,Females,Real estate activities,2008,1573,26000,30400,34700,38800,Real estate activities
2009-12-31,Females,Real estate activities,2009,1908,27000,32500,35800,41000,Real estate activities
2010-12-31,Females,Real estate activities,2010,2064,27900,33700,38000,43300,Real estate activities
2011-12-31,Females,Real estate activities,2011,2275,29400,36100,41300,47600,Real estate activities
2012-12-31,Females,Real estate activities,2012,2375,31000,37400,42900,49500,Real estate activities
2013-12-31,Females,Real estate activities,2013,2442,32300,40300,46100,52800,Real estate activities
2014-12-31,Females,Real estate activities,2014,2572,32600,40100,45700,53800,Real estate activities
2015-12-31,Females,Real estate activities,2015,2589,33400,40800,47400,54200,Real estate activities
2008-12-31,Both sexes,"Professional, scientific and technical activities",2008,42377,32000,39800,44300,52000,"Professional, scientific and technical activities"
2009-12-31,Both sexes,"Professional, scientific and technical activities",2009,45703,33300,41200,45600,53600,"Professional, scientific and technical activities"
2010-12-31,Both sexes,"Professional, scientific and technical activities",2010,52648,34100,41700,46400,54200,"Professional, scientific and technical activities"
2011-12-31,Both sexes,"Professional, scientific and technical activities",2011,54975,35200,43300,48500,56700,"Professional, scientific and technical activities"
2012-12-31,Both sexes,"Professional, scientific and technical activities",2012,61375,36700,45300,50500,59000,"Professional, scientific and technical activities"
2013-12-31,Both sexes,"Professional, scientific and technical activities",2013,62526,38300,47400,52800,61900,"Professional, scientific and technical activities"
2014-12-31,Both sexes,"Professional, scientific and technical activities",2014,65538,39600,48800,53900,63300,"Professional, scientific and technical activities"
2015-12-31,Both sexes,"Professional, scientific and technical activities",2015,66211,40300,49700,54800,64600,"Professional, scientific and technical activities"
2008-12-31,Males,"Professional, scientific and technical activities",2008,27730,35000,44200,48400,56800,"Professional, scientific and technical activities"
2009-12-31,Males,"Professional, scientific and technical activities",2009,29876,36100,45500,49500,58200,"Professional, scientific and technical activities"
2010-12-31,Males,"Professional, scientific and technical activities",2010,33261,37300,45900,50300,59200,"Professional, scientific and technical activities"
2011-12-31,Males,"Professional, scientific and technical activities",2011,34351,38200,47900,52800,62000,"Professional, scientific and technical activities"
2012-12-31,Males,"Professional, scientific and technical activities",2012,38088,40000,50000,55000,64500,"Professional, scientific and technical activities"
2013-12-31,Males,"Professional, scientific and technical activities",2013,38422,41700,52200,57500,67300,"Professional, scientific and technical activities"
2014-12-31,Males,"Professional, scientific and technical activities",2014,39920,42800,53700,58500,68800,"Professional, scientific and technical activities"
2015-12-31,Males,"Professional, scientific and technical activities",2015,39896,43800,54600,59500,70200,"Professional, scientific and technical activities"
2008-12-31,Females,"Professional, scientific and technical activities",2008,14647,29000,34100,37200,42000,"Professional, scientific and technical activities"
2009-12-31,Females,"Professional, scientific and technical activities",2009,15827,30200,35100,38700,43400,"Professional, scientific and technical activities"
2010-12-31,Females,"Professional, scientific and technical activities",2010,19387,31000,36300,39600,44500,"Professional, scientific and technical activities"
2011-12-31,Females,"Professional, scientific and technical activities",2011,20624,32100,37800,41400,46700,"Professional, scientific and technical activities"
2012-12-31,Females,"Professional, scientific and technical activities",2012,23287,33800,39600,43200,48900,"Professional, scientific and technical activities"
2013-12-31,Females,"Professional, scientific and technical activities",2013,24104,35100,41600,45300,51500,"Professional, scientific and technical activities"
2014-12-31,Females,"Professional, scientific and technical activities",2014,25618,36400,42900,46700,53300,"Professional, scientific and technical activities"
2015-12-31,Females,"Professional, scientific and technical activities",2015,26315,37000,43800,47600,54200,"Professional, scientific and technical activities"
2008-12-31,Both sexes,Administrative and support service activities,2008,33851,23000,26800,30800,34200,Administrative and support service activities
2009-12-31,Both sexes,Administrative and support service activities,2009,32587,23400,27200,31500,35000,Administrative and support service activities
2010-12-31,Both sexes,Administrative and support service activities,2010,40457,24900,28300,32600,35600,Administrative and support service activities
2011-12-31,Both sexes,Administrative and support service activities,2011,44962,25600,29200,33600,36500,Administrative and support service activities
2012-12-31,Both sexes,Administrative and support service activities,2012,48116,26300,30100,34300,37000,Administrative and support service activities
2013-12-31,Both sexes,Administrative and support service activities,2013,47469,27300,31200,35700,38500,Administrative and support service activities
2014-12-31,Both sexes,Administrative and support service activities,2014,50104,28300,32200,36900,40000,Administrative and support service activities
2015-12-31,Both sexes,Administrative and support service activities,2015,51773,29000,33100,37700,41000,Administrative and support service activities
2008-12-31,Males,Administrative and support service activities,2008,20478,23200,27300,32000,36000,Administrative and support service activities
2009-12-31,Males,Administrative and support service activities,2009,19259,23500,27700,32800,36700,Administrative and support service activities
2010-12-31,Males,Administrative and support service activities,2010,24538,25100,28700,33600,37100,Administrative and support service activities
2011-12-31,Males,Administrative and support service activities,2011,27608,25800,29600,34700,38000,Administrative and support service activities
2012-12-31,Males,Administrative and support service activities,2012,30198,26300,30400,35100,38100,Administrative and support service activities
2013-12-31,Males,Administrative and support service activities,2013,29844,27600,31700,36800,40000,Administrative and support service activities
2014-12-31,Males,Administrative and support service activities,2014,31807,28500,32500,37800,41300,Administrative and support service activities
2015-12-31,Males,Administrative and support service activities,2015,33003,29200,33400,38700,42100,Administrative and support service activities
2008-12-31,Females,Administrative and support service activities,2008,13373,22700,26200,29000,32100,Administrative and support service activities
2009-12-31,Females,Administrative and support service activities,2009,13328,23200,26700,29500,33000,Administrative and support service activities
2010-12-31,Females,Administrative and support service activities,2010,15919,24600,27800,30800,33800,Administrative and support service activities
2011-12-31,Females,Administrative and support service activities,2011,17354,25500,28700,31800,34800,Administrative and support service activities
2012-12-31,Females,Administrative and support service activities,2012,17918,26200,29800,32800,35800,Administrative and support service activities
2013-12-31,Females,Administrative and support service activities,2013,17625,26800,30400,33700,36600,Administrative and support service activities
2014-12-31,Females,Administrative and support service activities,2014,18297,27700,31500,35100,38400,Administrative and support service activities
2015-12-31,Females,Administrative and support service activities,2015,18770,28400,32500,35900,39500,Administrative and support service activities
2008-12-31,Both sexes,Public administration and defence,2008,101522,29000,33200,34900,38300,Public administration and defence; compulsory social security
2009-12-31,Both sexes,Public administration and defence,2009,78747,29600,34100,36400,40100,Public administration and defence; compulsory social security
2010-12-31,Both sexes,Public administration and defence,2010,110830,31800,36400,38500,42500,Public administration and defence; compulsory social security
2011-12-31,Both sexes,Public administration and defence,2011,111514,32900,37700,39900,44100,Public administration and defence; compulsory social security
2012-12-31,Both sexes,Public administration and defence,2012,113868,34700,39700,41900,46000,Public administration and defence; compulsory social security
2013-12-31,Both sexes,Public administration and defence,2013,116351,35600,40900,43400,48000,Public administration and defence; compulsory social security
2014-12-31,Both sexes,Public administration and defence,2014,119313,36900,42400,45000,49800,Public administration and defence; compulsory social security
2015-12-31,Both sexes,Public administration and defence,2015,126718,37700,44100,47000,52400,Public administration and defence; compulsory social security
2008-12-31,Males,Public administration and defence,2008,56006,30400,34600,36500,40200,Public administration and defence; compulsory social security
2009-12-31,Males,Public administration and defence,2009,45233,31200,36000,37900,42000,Public administration and defence; compulsory social security
2010-12-31,Males,Public administration and defence,2010,61418,33500,38200,40100,44300,Public administration and defence; compulsory social security
2011-12-31,Males,Public administration and defence,2011,61304,34500,39600,41500,45900,Public administration and defence; compulsory social security
2012-12-31,Males,Public administration and defence,2012,62091,36400,41400,43400,47900,Public administration and defence; compulsory social security
2013-12-31,Males,Public administration and defence,2013,62848,37500,43000,45200,50100,Public administration and defence; compulsory social security
2014-12-31,Males,Public administration and defence,2014,64058,38700,44500,46900,51900,Public administration and defence; compulsory social security
2015-12-31,Males,Public administration and defence,2015,66331,40300,46700,49700,55300,Public administration and defence; compulsory social security
2008-12-31,Females,Public administration and defence,2008,45516,28400,31000,33100,35800,Public administration and defence; compulsory social security
2009-12-31,Females,Public administration and defence,2009,33514,29200,31700,34400,37200,Public administration and defence; compulsory social security
2010-12-31,Females,Public administration and defence,2010,49412,30900,34200,36500,39800,Public administration and defence; compulsory social security
2011-12-31,Females,Public administration and defence,2011,50210,32100,35500,38000,41600,Public administration and defence; compulsory social security
2012-12-31,Females,Public administration and defence,2012,51777,33600,37400,40000,43600,Public administration and defence; compulsory social security
2013-12-31,Females,Public administration and defence,2013,53503,34500,38500,41300,45000,Public administration and defence; compulsory social security
2014-12-31,Females,Public administration and defence,2014,55255,35800,40000,42900,46800,Public administration and defence; compulsory social security
2015-12-31,Females,Public administration and defence,2015,60387,36400,41000,44100,48500,Public administration and defence; compulsory social security
2008-12-31,Both sexes,Education,2008,105907,31000,34800,35100,37900,Education
2009-12-31,Both sexes,Education,2009,5768,29200,33500,35400,39200,Education
2010-12-31,Both sexes,Education,2010,108043,33500,37800,38000,41000,Education
2011-12-31,Both sexes,Education,2011,109693,34400,38700,39100,42200,Education
2012-12-31,Both sexes,Education,2012,111629,36300,40500,41200,44500,Education
2013-12-31,Both sexes,Education,2013,113390,36900,41100,41900,45100,Education
2014-12-31,Both sexes,Education,2014,114905,38400,42700,43500,46900,Education
2015-12-31,Both sexes,Education,2015,125777,38600,43300,44100,47800,Education
2008-12-31,Males,Education,2008,45797,31700,35600,36400,39800,Education
2009-12-31,Males,Education,2009,2863,30600,35300,37500,41400,Education
2010-12-31,Males,Education,2010,44985,34300,38500,39300,43000,Education
2011-12-31,Males,Education,2011,44891,35000,39300,40400,44000,Education
2012-12-31,Males,Education,2012,44986,36900,41200,42500,46500,Education
2013-12-31,Males,Education,2013,45144,37400,41800,43200,47300,Education
2014-12-31,Males,Education,2014,45029,38900,43400,44800,49000,Education
2015-12-31,Males,Education,2015,46962,39500,44200,45800,50100,Education
2008-12-31,Females,Education,2008,60110,30400,34000,34100,37000,Education
2009-12-31,Females,Education,2009,2905,27500,31900,33200,37100,Education
2010-12-31,Females,Education,2010,63058,33100,37200,37100,40200,Education
2011-12-31,Females,Education,2011,64802,34000,38100,38200,41200,Education
2012-12-31,Females,Education,2012,66643,36000,40100,40300,43600,Education
2013-12-31,Females,Education,2013,68246,36600,40700,41000,44200,Education
2014-12-31,Females,Education,2014,69876,38200,42300,42600,46100,Education
2015-12-31,Females,Education,2015,78815,38300,42700,43100,46800,Education
2008-12-31,Both sexes,Human health and social work activities,2008,160798,25900,29900,31900,34200,Human health and social work activities
2009-12-31,Both sexes,Human health and social work activities,2009,30834,25000,28700,31200,34100,Human health and social work activities
2010-12-31,Both sexes,Human health and social work activities,2010,171866,28000,32500,34500,37100,Human health and social work activities
2011-12-31,Both sexes,Human health and social work activities,2011,180174,29000,33700,35900,38300,Human health and social work activities
2012-12-31,Both sexes,Human health and social work activities,2012,183245,30500,35400,37500,40200,Human health and social work activities
2013-12-31,Both sexes,Human health and social work activities,2013,187378,31200,36200,38400,41100,Human health and social work activities
2014-12-31,Both sexes,Human health and social work activities,2014,192116,32300,37500,39800,42900,Human health and social work activities
2015-12-31,Both sexes,Human health and social work activities,2015,210730,32900,38300,40700,44000,Human health and social work activities
2008-12-31,Males,Human health and social work activities,2008,38196,27300,32100,36800,39800,Human health and social work activities
2009-12-31,Males,Human health and social work activities,2009,9222,26000,31200,35200,38600,Human health and social work activities
2010-12-31,Males,Human health and social work activities,2010,41064,29200,34400,39100,41900,Human health and social work activities
2011-12-31,Males,Human health and social work activities,2011,43054,30500,35500,40700,43300,Human health and social work activities
2012-12-31,Males,Human health and social work activities,2012,43190,31800,37100,42100,45000,Human health and social work activities
2013-12-31,Males,Human health and social work activities,2013,43905,32700,38200,43300,46500,Human health and social work activities
2014-12-31,Males,Human health and social work activities,2014,44564,33600,39500,44500,47900,Human health and social work activities
2015-12-31,Males,Human health and social work activities,2015,46717,34300,40600,45600,49800,Human health and social work activities
2008-12-31,Females,Human health and social work activities,2008,122602,25600,29500,30400,33200,Human health and social work activities
2009-12-31,Females,Human health and social work activities,2009,21612,24700,28200,29600,32700,Human health and social work activities
2010-12-31,Females,Human health and social work activities,2010,130802,27900,32000,33000,36100,Human health and social work activities
2011-12-31,Females,Human health and social work activities,2011,137120,28800,33100,34400,37300,Human health and social work activities
2012-12-31,Females,Human health and social work activities,2012,140055,30300,35000,36100,39400,Human health and social work activities
2013-12-31,Females,Human health and social work activities,2013,143473,30900,35700,36900,40200,Human health and social work activities
2014-12-31,Females,Human health and social work activities,2014,147552,32000,37100,38400,41900,Human health and social work activities
2015-12-31,Females,Human health and social work activities,2015,164013,32700,37900,39300,43000,Human health and social work activities
2008-12-31,Both sexes,"Arts, entertainment and recreation",2008,7037,26400,30800,33200,36300,"Arts, entertainment and recreation"
2009-12-31,Both sexes,"Arts, entertainment and recreation",2009,7362,27000,31500,33600,37500,"Arts, entertainment and recreation"
2010-12-31,Both sexes,"Arts, entertainment and recreation",2010,11207,28500,32600,34500,38300,"Arts, entertainment and recreation"
2011-12-31,Both sexes,"Arts, entertainment and recreation",2011,11756,29200,33800,35600,40400,"Arts, entertainment and recreation"
2012-12-31,Both sexes,"Arts, entertainment and recreation",2012,12499,30500,35300,37100,41800,"Arts, entertainment and recreation"
2013-12-31,Both sexes,"Arts, entertainment and recreation",2013,12208,31100,36300,38400,43200,"Arts, entertainment and recreation"
2014-12-31,Both sexes,"Arts, entertainment and recreation",2014,12973,32500,37500,39600,44700,"Arts, entertainment and recreation"
2015-12-31,Both sexes,"Arts, entertainment and recreation",2015,13537,33500,38500,40700,45800,"Arts, entertainment and recreation"
2008-12-31,Males,"Arts, entertainment and recreation",2008,3945,27600,32700,35700,38900,"Arts, entertainment and recreation"
2009-12-31,Males,"Arts, entertainment and recreation",2009,3966,27900,33100,36000,39900,"Arts, entertainment and recreation"
2010-12-31,Males,"Arts, entertainment and recreation",2010,5636,29200,33900,36600,40600,"Arts, entertainment and recreation"
2011-12-31,Males,"Arts, entertainment and recreation",2011,5811,29800,35000,37500,42400,"Arts, entertainment and recreation"
2012-12-31,Males,"Arts, entertainment and recreation",2012,6160,31100,36300,39200,44000,"Arts, entertainment and recreation"
2013-12-31,Males,"Arts, entertainment and recreation",2013,6117,31900,37500,40700,45700,"Arts, entertainment and recreation"
2014-12-31,Males,"Arts, entertainment and recreation",2014,6622,33000,38300,41500,46700,"Arts, entertainment and recreation"
2015-12-31,Males,"Arts, entertainment and recreation",2015,7142,33800,39500,42300,48000,"Arts, entertainment and recreation"
2008-12-31,Females,"Arts, entertainment and recreation",2008,3092,25300,29200,30000,33800,"Arts, entertainment and recreation"
2009-12-31,Females,"Arts, entertainment and recreation",2009,3396,25500,30000,30700,35000,"Arts, entertainment and recreation"
2010-12-31,Females,"Arts, entertainment and recreation",2010,5571,27600,31700,32200,36100,"Arts, entertainment and recreation"
2011-12-31,Females,"Arts, entertainment and recreation",2011,5945,28700,33200,33700,38300,"Arts, entertainment and recreation"
2012-12-31,Females,"Arts, entertainment and recreation",2012,6339,29900,34500,34900,39700,"Arts, entertainment and recreation"
2013-12-31,Females,"Arts, entertainment and recreation",2013,6091,30300,35500,36100,41200,"Arts, entertainment and recreation"
2014-12-31,Females,"Arts, entertainment and recreation",2014,6351,32000,36900,37600,42400,"Arts, entertainment and recreation"
2015-12-31,Females,"Arts, entertainment and recreation",2015,6395,33200,37900,38900,44200,"Arts, entertainment and recreation"
2008-12-31,Both sexes,Other service activities,2008,10407,23700,29900,32400,38000,Other service activities
2009-12-31,Both sexes,Other service activities,2009,11323,24400,30500,33500,39400,Other service activities
2010-12-31,Both sexes,Other service activities,2010,13237,25100,32100,34800,41100,Other service activities
2011-12-31,Both sexes,Other service activities,2011,13522,25200,33200,35300,42200,Other service activities
2012-12-31,Both sexes,Other service activities,2012,13906,26700,34300,36800,43900,Other service activities
2013-12-31,Both sexes,Other service activities,2013,14013,27300,35600,38200,45700,Other service activities
2014-12-31,Both sexes,Other service activities,2014,14556,27500,36200,38900,46500,Other service activities
2015-12-31,Both sexes,Other service activities,2015,14964,29100,38200,40600,49800,Other service activities
2008-12-31,Males,Other service activities,2008,4502,27100,33900,37000,43300,Other service activities
2009-12-31,Males,Other service activities,2009,5209,27700,35000,38400,45000,Other service activities
2010-12-31,Males,Other service activities,2010,6339,29600,37700,40300,46300,Other service activities
2011-12-31,Males,Other service activities,2011,6314,30600,38700,41200,47400,Other service activities
2012-12-31,Males,Other service activities,2012,6443,31800,39800,42500,49600,Other service activities
2013-12-31,Males,Other service activities,2013,6384,33300,41700,44800,52000,Other service activities
2014-12-31,Males,Other service activities,2014,6541,33400,42400,45500,52500,Other service activities
2015-12-31,Males,Other service activities,2015,6722,34700,44400,46900,54500,Other service activities
2008-12-31,Females,Other service activities,2008,5905,22200,27700,29300,34400,Other service activities
2009-12-31,Females,Other service activities,2009,6114,23000,28100,30200,35000,Other service activities
2010-12-31,Females,Other service activities,2010,6898,22900,29200,31200,36700,Other service activities
2011-12-31,Females,Other service activities,2011,7208,22800,29800,31600,37800,Other service activities
2012-12-31,Females,Other service activities,2012,7463,24200,31000,33100,39700,Other service activities
2013-12-31,Females,Other service activities,2013,7629,24700,32000,34100,40700,Other service activities
2014-12-31,Females,Other service activities,2014,8015,25200,32600,35000,42100,Other service activities
2015-12-31,Females,Other service activities,2015,8242,26200,35000,36800,44900,Other service activities
